,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
1,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
2,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
3,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
4,2,4,0,0,0,4,5,1,3,4,0,0,2,5,7,11,Trusted
5,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
6,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
7,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
8,2,8,0,0,1,10,8,1,3,6,0,3,1,8,12,21,Trusted
9,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
10,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
11,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Uncertain
12,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
13,2,5,0,0,1,4,5,1,3,3,0,0,1,5,6,12,Trusted
14,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
15,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
16,2,5,0,0,1,4,5,1,3,3,0,0,1,5,6,12,Trusted
17,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
18,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
19,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
20,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
21,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
22,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
23,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
24,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
25,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
26,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
27,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
28,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
29,2,7,0,0,1,8,7,1,3,4,0,2,1,6,9,18,Trusted
30,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
31,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
32,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
33,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
34,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
35,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
36,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
37,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
38,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
39,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
40,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
41,2,8,0,0,1,10,8,1,3,5,0,3,1,7,11,21,Trusted
42,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
43,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
44,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,4,Trusted
45,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
46,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
47,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
48,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
49,2,6,0,0,0,5,6,1,3,6,0,0,3,6,9,13,Trusted
50,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
51,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
52,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
53,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
54,2,2,0,0,0,3,4,1,3,2,0,0,1,4,5,9,Trusted
55,2,10,0,0,1,8,8,1,3,8,0,1,3,8,12,19,Trusted
56,2,14,0,0,1,17,13,1,3,11,0,5,3,11,19,33,Trusted
57,2,21,1,3,4,43,27,1,3,15,4,6,4,26,41,80,Trusted
58,2,22,0,1,4,47,33,1,3,18,3,13,4,24,44,88,Trusted
59,2,13,0,0,1,16,12,1,3,8,0,5,2,9,16,31,Trusted
60,2,13,0,1,1,19,12,1,3,10,3,2,2,12,19,35,Trusted
61,2,20,0,2,1,24,17,1,3,15,2,4,4,16,26,46,Trusted
