,"('act', '{<QualifiedName: collabmap:BuildingVerification>}')","('act', '{<QualifiedName: collabmap:CompletionVerification>}')","('act', '{<QualifiedName: collabmap:RouteIdentification>}')","('act', '{<QualifiedName: collabmap:RouteVerification>}')","('ent', '{<QualifiedName: collabmap:Building>}')","('ent', '{<QualifiedName: collabmap:Route>}')","('ent', '{<QualifiedName: collabmap:RouteSet>}')","('ent', '{<QualifiedName: collabmap:Vote>}')","[('der', 'gen'), ('der', 'usd'), (('ent', '{<QualifiedName: collabmap:Building>}'), ('ent', '{<QualifiedName: collabmap:Building>}'))]","[['der', 'der', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['gen', ('act', '{<QualifiedName: collabmap:BuildingVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Building>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:CompletionVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Building>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')]]",label
0,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
1,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
2,2,2,1,2,1,1,1,8,2,4,1,2,1,1,1,0,0,0,0,2,2,0,3,4,3,0,0,2,2,Trusted
3,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
4,2,2,1,2,1,1,1,8,2,4,1,2,1,1,1,0,0,0,0,2,2,0,3,4,3,0,0,2,2,Trusted
5,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
6,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
7,2,3,1,3,1,1,1,10,2,6,1,2,1,1,1,0,0,0,0,3,3,0,3,6,3,0,0,3,3,Trusted
8,2,4,2,4,1,2,2,16,2,8,1,2,1,1,1,0,0,1,1,7,4,1,3,6,3,0,3,1,5,Trusted
9,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
10,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
11,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Uncertain
12,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
13,2,1,2,1,1,2,2,7,2,5,1,2,1,1,1,0,0,1,1,1,1,1,3,3,3,0,0,1,2,Trusted
14,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
15,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
16,2,1,2,1,1,2,2,7,2,5,1,2,1,1,1,0,0,1,1,1,1,1,3,3,3,0,0,1,2,Trusted
17,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
18,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
19,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
20,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
21,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
22,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
23,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
24,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
25,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
26,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
27,2,1,1,1,1,1,1,6,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,2,3,0,0,1,1,Trusted
28,2,0,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Trusted
