,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
0,2,9,0,1,5,7,2,5,0,2,5,7,14,Uncertain
1,2,0,0,0,2,7,7,0,0,0,5,5,10,Trusted
2,2,22,1,5,39,40,5,15,3,1,21,34,87,Uncertain
3,2,28,1,3,27,48,4,16,9,3,17,29,80,Uncertain
4,2,53,0,1,15,57,13,14,0,9,17,26,74,Trusted
5,2,5,0,0,2,56,51,5,0,0,19,19,59,Uncertain
6,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
7,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
8,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
9,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
10,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
11,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
12,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
13,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
14,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
15,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
16,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
17,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
18,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
19,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
20,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
21,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
22,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
23,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
24,2,9,0,0,5,13,7,6,0,3,10,13,19,Trusted
25,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
26,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
27,2,15,0,0,7,20,7,5,0,4,10,14,28,Uncertain
28,0,3,0,0,0,18,15,3,0,0,8,8,19,Uncertain
29,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
30,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
31,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
32,2,9,0,0,5,13,7,6,0,3,10,13,19,Trusted
33,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
34,2,16,0,0,8,16,5,9,0,5,10,15,25,Uncertain
35,0,1,0,0,0,17,16,1,0,0,10,10,18,Trusted
36,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
37,0,0,0,0,0,8,8,0,0,0,8,8,9,Trusted
38,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
39,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
40,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
41,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
42,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
43,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
44,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
45,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
46,2,9,0,0,5,13,7,6,0,3,10,13,19,Trusted
47,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
48,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
49,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
50,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
51,0,0,0,0,3,7,0,0,0,1,4,5,10,Uncertain
52,0,0,0,0,3,7,0,0,0,1,4,5,10,Uncertain
53,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
54,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
55,2,3,0,0,3,7,5,2,0,1,6,7,11,Uncertain
56,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
57,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
58,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
59,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
60,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
61,2,9,0,0,5,11,5,6,0,3,8,11,17,Uncertain
62,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
63,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
64,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
65,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
66,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
67,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
68,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
69,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
70,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
71,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
72,0,0,0,0,0,10,10,0,0,0,9,9,11,Trusted
73,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
74,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
75,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
76,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
77,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
78,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
79,2,3,0,0,3,7,5,2,0,1,6,7,11,Uncertain
80,0,0,0,0,0,3,3,0,0,0,2,2,4,Trusted
81,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
82,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
83,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
84,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
85,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
86,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
87,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
88,2,7,0,0,5,8,3,3,0,2,5,7,14,Uncertain
89,0,1,0,0,0,8,7,1,0,0,4,4,9,Uncertain
90,0,0,0,0,0,1,1,0,0,0,1,1,2,Uncertain
91,2,0,0,0,2,5,5,0,0,0,5,5,8,Uncertain
92,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
93,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
94,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
95,0,0,0,0,0,4,4,0,0,0,4,4,5,Trusted
96,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
97,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
98,0,0,0,0,0,6,6,0,0,0,6,6,7,Trusted
99,2,9,0,0,5,9,3,6,0,3,6,9,15,Uncertain
100,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
101,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
102,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
103,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
104,2,0,0,0,2,3,3,0,0,0,3,3,6,Uncertain
105,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
106,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
107,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
108,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
109,2,6,0,0,4,7,3,4,0,2,4,6,12,Uncertain
110,0,0,0,0,0,6,6,0,0,0,4,4,7,Trusted
111,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
112,0,0,0,0,0,2,2,0,0,0,2,2,3,Trusted
113,2,9,0,0,5,9,3,6,0,3,5,8,15,Uncertain
114,0,0,0,0,0,9,9,0,0,0,6,6,10,Trusted
