,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
0,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
1,43,12,1,16,38,2,19,5,4,10,19,58,Trusted
2,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
3,30,16,4,28,32,2,19,9,4,16,29,68,Trusted
4,63,15,5,92,35,2,31,7,8,22,52,143,Uncertain
5,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
6,112,40,3,111,31,2,59,6,4,26,59,155,Trusted
7,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
8,20,18,5,31,17,2,22,6,4,15,28,56,Trusted
9,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
10,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
11,93,37,3,112,44,2,47,4,2,39,67,174,Trusted
12,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
13,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
14,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
15,0,13,0,0,0,2,21,6,1,22,34,111,Trusted
16,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
17,99,44,4,89,61,2,51,6,2,36,62,167,Trusted
18,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
19,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
20,37,23,3,42,24,2,33,8,5,22,40,73,Trusted
21,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
22,13,5,0,7,11,2,10,0,5,5,10,21,Trusted
23,27,4,0,5,27,2,9,0,5,5,10,35,Trusted
24,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
25,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
26,36,14,2,19,35,2,20,3,7,14,24,59,Trusted
27,26,8,1,22,14,2,16,8,2,9,19,40,Uncertain
28,17,1,1,75,59,2,4,15,6,22,51,144,Trusted
29,20,6,2,11,14,2,10,3,3,5,11,30,Trusted
30,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
31,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
32,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
33,56,24,1,39,47,2,28,2,2,29,41,122,Trusted
34,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
35,10,12,2,12,8,2,14,4,2,8,14,25,Trusted
36,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
