,"('act', '{<QualifiedName: collabmap:CompletionVerification>}')","('act', '{<QualifiedName: collabmap:RouteIdentification>}')","('act', '{<QualifiedName: collabmap:RouteVerification>}')","('ent', '{<QualifiedName: collabmap:Route>}')","('ent', '{<QualifiedName: collabmap:RouteSet>}')","('ent', '{<QualifiedName: collabmap:Vote>}')","[('der', 'gen'), ('der', 'usd'), (('ent', '{<QualifiedName: collabmap:Route>}'), ('ent', '{<QualifiedName: collabmap:Route>}'))]","[['der', 'der', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')], ['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:CompletionVerification>}')]]","[['der', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['gen', ('act', '{<QualifiedName: collabmap:RouteIdentification>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:Route>}')], ['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')], ['usd', ('ent', '{<QualifiedName: collabmap:Route>}')]]","[['usd', ('ent', '{<QualifiedName: collabmap:RouteSet>}')]]",label
0,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
1,9,1,9,2,3,53,43,12,1,1,14,2,9,1,19,5,4,10,Trusted
2,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
3,12,4,13,5,8,55,30,16,3,4,22,2,12,4,19,9,2,16,Trusted
4,18,4,30,5,16,122,63,15,2,4,88,2,18,4,31,7,8,22,Uncertain
5,4,0,5,1,1,11,6,4,0,0,5,2,4,0,9,0,5,4,Trusted
6,19,7,33,8,13,134,112,40,3,7,104,2,19,7,59,6,4,26,Trusted
7,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
8,11,4,13,5,8,43,20,18,4,4,26,2,11,4,22,6,4,15,Trusted
9,4,0,5,1,1,11,6,4,0,0,5,2,4,0,9,0,5,4,Trusted
10,3,0,3,1,1,13,9,3,0,0,3,2,3,0,6,0,3,3,Trusted
11,28,11,28,12,17,145,93,37,1,11,100,2,28,11,47,2,2,39,Trusted
12,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
13,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
14,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
15,13,2,19,3,10,98,0,13,0,0,0,2,0,0,21,1,1,15,Trusted
16,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
17,26,10,26,11,16,140,99,44,1,10,78,2,26,10,51,2,2,36,Trusted
18,3,0,3,1,1,13,9,3,0,0,3,2,3,0,6,0,3,3,Trusted
19,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
20,18,4,18,5,7,61,37,23,3,4,37,2,18,4,33,8,4,22,Trusted
21,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
22,5,0,5,1,3,17,13,5,0,0,6,2,5,0,10,0,4,5,Trusted
23,5,0,5,1,2,32,27,4,0,0,5,2,5,0,9,0,5,5,Trusted
24,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
25,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
26,10,3,11,4,7,48,36,14,2,3,13,2,10,3,20,3,6,14,Trusted
27,8,1,10,2,5,33,26,8,1,1,20,2,8,1,16,8,2,9,Uncertain
28,16,6,29,7,12,125,17,1,1,6,69,2,16,6,4,15,6,22,Trusted
29,4,1,6,2,5,23,20,6,1,1,9,2,4,1,10,3,3,5,Trusted
30,3,0,3,1,1,10,6,3,0,0,3,2,3,0,6,0,3,3,Trusted
31,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
32,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
33,12,4,25,5,8,109,56,24,1,4,35,2,12,4,28,2,2,16,Trusted
34,4,1,4,2,2,13,7,7,1,1,7,2,4,1,9,3,1,5,Trusted
35,6,2,6,3,3,19,10,12,2,2,10,2,6,2,14,4,2,8,Trusted
36,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
37,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
38,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
39,3,0,3,1,1,7,3,3,0,0,3,2,3,0,6,0,3,3,Trusted
