,"[('gen', 'der'), ('usd', 'der'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['gen', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'act'], ['der', 'ent']]","[['gen', 'act'], ['inv', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]",act,ent,label
0,18,5,31,1,1,8,12,17,17,47,Instinct
1,18,2,22,2,2,6,11,14,14,39,Instinct
2,14,5,23,3,3,10,11,16,16,42,Instinct
3,16,6,32,2,2,10,12,19,19,50,Mystic
4,20,8,38,0,0,10,14,19,19,54,Valor
5,20,10,35,3,3,10,17,22,22,57,Instinct
6,14,2,20,0,0,4,8,10,10,30,Valor
7,16,3,23,1,1,6,10,13,13,37,Mystic
8,24,11,40,8,8,20,22,32,32,79,Instinct
9,18,5,29,3,3,8,13,19,19,49,Mystic
10,10,16,49,7,7,22,18,35,35,80,Mystic
11,16,7,31,5,5,14,14,23,23,57,Mystic
12,20,5,30,2,2,6,14,18,18,48,Mystic
13,16,6,26,2,2,8,12,16,16,43,Instinct
14,14,5,33,1,1,8,10,18,18,47,Instinct
15,16,6,30,0,0,8,11,15,15,43,Instinct
16,16,4,25,1,1,6,11,14,14,39,Mystic
17,18,4,28,0,0,4,11,14,14,40,Instinct
18,18,4,28,0,0,6,11,14,14,41,Valor
19,12,2,18,0,0,4,7,9,9,27,Mystic
20,10,2,16,0,0,4,6,8,8,24,Valor
21,18,5,27,3,3,10,13,18,18,48,Mystic
22,16,4,22,2,2,6,11,14,14,38,Instinct
23,16,0,18,0,0,2,8,9,9,28,Instinct
24,14,7,31,1,1,8,11,17,17,45,Mystic
25,14,6,24,2,2,8,11,15,15,40,Instinct
26,10,2,18,0,0,4,6,9,9,26,Mystic
27,24,5,31,5,5,12,17,23,23,60,Instinct
28,14,2,20,0,0,4,8,10,10,30,Valor
29,18,12,40,6,6,18,19,29,29,71,Mystic
30,10,6,24,0,0,8,8,12,12,34,Mystic
31,12,4,24,0,0,6,8,12,12,34,Mystic
32,16,4,28,0,0,6,10,14,14,40,Valor
33,12,3,19,1,1,6,8,11,11,31,Mystic
34,10,2,16,0,0,4,6,8,8,24,Valor
35,16,4,25,3,3,8,12,17,17,44,Instinct
36,20,13,42,6,6,20,20,30,30,75,Mystic
37,8,10,25,3,3,12,11,17,17,42,Mystic
38,16,5,25,1,1,6,11,14,14,39,Mystic
39,16,8,36,0,0,10,12,18,18,50,Valor
40,16,8,34,0,0,8,12,17,17,47,Valor
41,14,6,28,0,0,8,10,14,14,40,Valor
42,18,15,43,9,9,22,22,35,35,82,Instinct
43,20,4,28,0,0,4,12,14,14,41,Mystic
44,14,10,32,6,6,16,15,25,25,60,Instinct
45,8,6,20,0,0,6,7,10,10,28,Valor
46,12,0,14,0,0,2,6,7,7,22,Mystic
47,10,4,26,0,0,4,7,13,13,34,Instinct
48,10,6,24,0,0,6,8,12,12,33,Mystic
49,14,5,25,1,1,8,10,14,14,39,Mystic
50,10,19,44,8,8,26,19,34,34,79,Instinct
51,18,8,38,2,2,10,14,22,22,57,Instinct
52,18,9,35,5,5,16,16,25,25,63,Mystic
53,8,0,10,0,0,2,4,5,5,16,Valor
54,12,19,52,10,10,26,23,41,41,92,Mystic
55,18,2,24,0,0,4,10,12,12,36,Valor
56,16,6,32,0,0,8,11,16,16,45,Instinct
57,10,8,28,2,2,10,10,17,17,43,Mystic
58,18,2,26,0,0,4,10,13,13,38,Instinct
59,18,6,32,2,2,8,14,19,19,50,Instinct
60,26,4,36,0,0,6,15,18,18,53,Valor
61,16,6,30,0,0,6,11,15,15,42,Valor
62,18,1,21,1,1,4,10,12,12,35,Mystic
63,20,6,29,5,5,12,16,22,22,56,Instinct
64,16,4,26,0,0,6,10,13,13,38,Valor
65,8,0,10,0,0,2,4,5,5,16,Valor
66,4,14,46,0,0,16,9,23,23,57,Valor
67,26,6,44,0,0,6,16,22,22,61,Valor
68,8,4,30,0,0,6,6,15,15,38,Valor
69,20,4,30,0,0,6,12,15,15,44,Valor
70,10,4,22,0,0,6,7,11,11,31,Instinct
71,8,10,44,0,0,10,9,22,22,54,Mystic
72,18,0,20,0,0,2,9,10,10,31,Valor
73,14,12,41,5,5,18,16,28,28,68,Mystic
74,8,8,28,0,0,10,8,14,14,38,Valor
75,12,2,20,0,0,4,7,10,10,29,Valor
76,18,9,33,5,5,16,16,24,24,61,Mystic
77,14,6,29,1,1,6,11,16,16,42,Instinct
78,22,2,28,0,0,4,12,14,14,42,Valor
79,22,4,34,0,0,6,13,17,17,49,Valor
80,28,0,30,0,0,2,14,15,15,46,Valor
81,18,8,36,6,6,14,17,27,27,65,Mystic
82,16,2,22,0,0,4,9,11,11,33,Valor
83,10,2,18,0,0,4,6,9,9,26,Valor
84,14,6,26,0,0,6,10,13,13,37,Mystic
85,12,5,27,1,1,8,9,15,15,40,Instinct
86,20,2,28,0,0,4,11,14,14,41,Valor
87,12,2,18,0,0,2,7,9,9,26,Mystic
88,14,3,19,1,1,4,9,11,11,31,Instinct
89,18,8,42,0,0,10,13,21,21,57,Valor
90,26,4,38,0,0,6,15,19,19,55,Valor
91,10,13,36,4,4,18,14,24,24,59,Mystic
92,16,2,24,0,0,4,9,12,12,35,Instinct
93,10,4,22,0,0,6,7,11,11,31,Instinct
94,16,4,26,0,0,6,10,13,13,38,Valor
95,16,4,24,2,2,8,11,15,15,41,Mystic
96,16,4,20,2,2,4,11,13,13,35,Instinct
97,10,5,19,1,1,6,8,11,11,30,Mystic
98,22,7,33,5,5,12,18,24,24,61,Instinct
99,10,7,23,3,3,12,10,16,16,41,Mystic
100,18,10,35,5,5,14,17,25,25,62,Instinct
101,14,5,21,3,3,8,11,15,15,39,Instinct
102,8,0,10,0,0,2,4,5,5,16,Instinct
103,14,6,32,0,0,8,10,16,16,44,Valor
104,26,6,40,0,0,8,16,20,20,58,Valor
105,16,0,18,0,0,2,8,9,9,28,Instinct
106,16,6,30,0,0,6,11,15,15,42,Instinct
107,20,4,29,1,1,6,13,16,16,45,Instinct
108,12,4,22,0,0,6,8,11,11,32,Valor
109,12,6,26,0,0,8,9,13,13,37,Mystic
110,38,0,40,0,0,2,19,20,20,61,Valor
111,24,9,36,6,6,14,20,27,27,68,Mystic
112,14,2,20,0,0,4,8,10,10,30,Instinct
113,14,6,30,0,0,8,10,15,15,42,Valor
114,8,8,30,0,0,10,8,15,15,40,Valor
115,14,2,20,0,0,4,8,10,10,30,Valor
116,16,4,25,3,3,8,12,17,17,44,Instinct
117,14,4,24,0,0,6,9,12,12,35,Instinct
118,20,2,24,2,2,6,12,15,15,42,Mystic
119,18,5,29,3,3,10,13,19,19,50,Mystic
120,14,8,27,3,3,10,13,18,18,46,Mystic
121,34,2,40,0,0,4,18,20,20,60,Valor
122,20,4,29,1,1,6,13,16,16,45,Mystic
123,10,7,27,1,1,8,9,15,15,39,Instinct
124,14,12,36,4,4,18,15,24,24,61,Mystic
125,18,6,30,2,2,10,13,18,18,49,Mystic
126,10,4,20,0,0,6,7,10,10,29,Valor
127,10,5,20,2,2,8,9,13,13,34,Instinct
128,16,4,25,1,1,6,11,14,14,39,Mystic
129,32,2,38,0,0,4,17,19,19,57,Valor
130,16,0,18,0,0,2,8,9,9,28,Valor
131,16,7,30,4,4,12,14,21,21,53,Instinct
132,14,6,30,0,0,6,10,15,15,41,Valor
133,14,7,28,2,2,8,12,17,17,44,Instinct
134,16,7,30,4,4,12,14,21,21,53,Instinct
135,22,2,28,0,0,4,12,14,14,42,Valor
136,20,4,30,0,0,6,12,15,15,44,Valor
137,10,4,22,0,0,6,7,11,11,31,Mystic
138,8,0,10,0,0,2,4,5,5,16,Valor
139,22,6,36,0,0,8,14,18,18,52,Valor
140,18,6,30,0,0,6,12,15,15,43,Valor
141,16,10,46,2,2,14,14,26,26,66,Mystic
142,12,2,20,0,0,4,7,10,10,29,Instinct
143,12,4,22,0,0,6,8,11,11,32,Mystic
144,16,10,38,0,0,10,13,19,19,52,Valor
145,20,4,28,0,0,4,12,14,14,41,Valor
146,22,0,24,0,0,2,11,12,12,37,Valor
147,14,6,26,2,2,8,11,16,16,42,Mystic
148,26,4,36,0,0,6,15,18,18,53,Valor
