,"('act', '{<QualifiedName: pgo:BallCollection>}')","('act', '{<QualifiedName: pgo:PokemonCapture>}')","('act', '{<QualifiedName: pgo:PokemonDispose>}')","('ent', '{<QualifiedName: pgo:Player>}')","('ent', '{<QualifiedName: pgo:PokemonNormal>}')","('ent', '{<QualifiedName: pgo:PokemonWeak>}')","('ent', '{<QualifiedName: pgo:Pokestop>}')","[('der', 'der'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonNormal>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonNormal>}'))]","[('gen', 'der'), ('usd', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[('gen', 'gen'), ('usd', 'usd'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:PokemonWeak>}'), ('ent', '{<QualifiedName: pgo:Pokestop>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:Player>}'))]","[('usd', 'usd'), ('der', 'der'), (('ent', '{<QualifiedName: pgo:Pokestop>}'), ('ent', '{<QualifiedName: pgo:PokemonWeak>}'))]","[['der', 'der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['der', 'der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', 'usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', ('act', '{<QualifiedName: pgo:BallCollection>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['gen', ('act', '{<QualifiedName: pgo:BallCollection>}')], ['der', ('ent', '{<QualifiedName: pgo:Pokestop>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['inv', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonCapture>}')], ['inv', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['gen', ('act', '{<QualifiedName: pgo:PokemonDispose>}')], ['der', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['usd', 'der', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Player>}')], ['usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:PokemonNormal>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:PokemonWeak>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]","[['usd', ('ent', '{<QualifiedName: pgo:Pokestop>}')], ['usd', ('ent', '{<QualifiedName: pgo:Player>}')]]",label
0,4,4,0,9,2,4,7,0,2,2,0,2,0,2,0,1,0,0,2,2,0,3,5,1,3,1,1,0,0,0,1,2,2,0,1,3,1,1,1,Instinct
1,9,3,0,13,0,0,14,2,0,0,0,0,0,0,0,1,0,0,4,0,6,6,12,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,Valor
2,8,5,0,14,8,2,11,0,2,0,0,4,0,0,0,0,0,2,2,2,0,6,10,2,1,6,1,0,0,0,3,1,2,2,0,4,2,1,4,Valor
3,7,5,1,14,2,4,11,0,2,0,0,0,4,0,0,0,0,0,2,2,0,6,8,0,1,2,2,0,1,1,1,2,3,1,0,4,0,3,3,Instinct
4,14,10,5,30,4,8,20,2,2,2,0,2,4,2,0,0,1,2,5,6,2,10,18,0,2,2,3,2,1,5,1,5,3,3,5,6,1,2,8,Instinct
5,6,5,0,12,2,8,11,0,2,2,4,0,4,0,0,0,0,0,0,2,0,4,8,0,4,2,4,0,0,0,0,3,4,1,1,4,0,3,2,Instinct
6,8,7,0,16,8,2,13,0,4,0,0,6,0,0,0,1,0,2,2,2,2,3,13,5,0,3,2,0,0,0,4,1,4,2,0,3,2,1,5,Valor
7,10,3,0,14,4,2,14,2,0,0,0,2,0,0,0,1,0,2,4,2,4,6,14,3,0,1,2,0,0,0,2,1,2,1,0,5,1,1,5,Mystic
8,8,6,2,17,2,6,13,0,2,0,2,2,4,0,0,0,0,1,4,0,2,4,12,0,0,2,5,1,0,2,1,3,4,1,0,4,0,4,4,Mystic
9,9,7,2,19,2,4,15,0,0,0,0,0,2,0,0,1,0,0,3,2,2,4,14,0,2,2,1,1,0,2,1,1,3,0,2,4,1,1,5,Mystic
10,11,7,3,22,6,4,18,0,2,0,2,2,2,0,0,1,1,0,5,0,0,6,16,4,0,1,2,0,2,3,3,3,5,4,2,6,0,2,5,Instinct
11,9,5,0,15,4,4,15,0,2,0,0,2,4,0,0,0,0,0,2,2,0,6,12,2,1,2,3,0,0,0,2,2,4,1,1,5,1,1,4,Instinct
12,4,4,0,9,0,2,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,5,0,1,0,1,0,0,0,0,1,2,0,0,3,0,1,1,Valor
13,8,7,2,18,6,6,11,2,0,0,0,0,2,0,0,1,0,1,2,4,2,3,13,3,1,1,5,0,0,2,3,1,2,4,1,3,1,2,5,Mystic
14,11,10,0,22,8,10,16,2,0,2,2,4,4,2,0,0,0,0,4,4,0,8,14,2,4,6,6,0,0,0,4,5,4,2,4,6,2,1,5,Valor
15,5,5,1,12,6,2,10,0,6,0,0,0,2,0,0,0,0,0,0,0,2,3,7,1,2,4,0,0,0,1,3,1,3,0,1,4,4,0,1,Mystic
16,10,8,4,23,4,8,14,0,2,0,4,2,2,0,0,1,1,1,0,2,2,6,14,0,3,3,3,1,1,4,2,4,3,1,4,5,2,2,5,Mystic
17,8,13,8,30,6,18,13,0,0,2,4,0,6,0,1,1,1,3,3,10,2,5,11,2,3,4,7,4,4,8,0,8,3,1,10,6,2,7,2,Instinct
18,9,8,3,21,4,6,14,2,2,0,0,2,0,0,1,1,0,1,2,4,2,6,12,2,1,1,3,0,2,3,2,2,4,2,4,4,1,1,5,Instinct
19,8,7,0,16,2,10,14,2,0,4,4,2,4,0,0,1,0,0,2,2,2,3,13,2,4,0,6,0,0,0,1,4,5,1,3,3,0,2,5,Valor
20,4,5,1,11,6,2,7,0,2,0,2,2,2,0,0,0,0,0,0,0,0,3,5,3,0,3,1,0,1,1,2,1,2,1,1,4,2,1,0,Instinct
21,8,10,0,19,10,6,15,0,4,0,2,8,2,2,0,1,0,0,2,0,0,6,10,1,4,9,2,0,0,0,5,3,6,2,3,4,3,0,4,Valor
22,8,6,2,17,8,0,14,0,6,0,0,6,0,0,0,0,0,0,5,0,0,4,12,3,0,3,0,0,0,2,4,0,5,3,0,4,3,0,4,Mystic
23,10,10,0,21,12,8,15,0,2,0,4,4,4,2,0,1,0,0,2,0,0,6,14,2,4,10,4,0,0,0,5,4,4,3,3,5,3,1,5,Valor
24,10,6,0,17,4,8,14,2,0,2,0,2,4,0,0,0,0,0,4,4,0,5,15,0,5,4,3,0,0,0,2,4,2,1,2,5,1,2,5,Valor
25,7,6,1,15,4,8,12,0,0,2,2,2,4,0,0,0,1,0,5,2,2,4,10,0,4,4,3,1,0,1,2,3,3,1,3,3,1,2,4,Instinct
26,11,4,0,16,4,2,17,0,2,0,2,0,2,2,0,1,0,0,4,0,2,6,16,0,2,4,0,0,0,0,1,1,5,1,1,5,1,0,6,Mystic
27,5,7,2,15,4,4,10,0,2,0,0,2,4,0,0,1,0,0,1,2,0,3,7,0,1,4,3,0,0,2,2,2,2,1,1,2,1,1,3,Mystic
28,8,9,4,22,4,8,14,0,2,0,0,2,4,2,0,1,2,2,2,8,0,6,10,0,2,4,2,1,3,4,1,4,2,1,6,3,1,2,5,Instinct
29,8,8,3,20,2,12,12,2,0,0,0,0,6,0,0,1,1,1,3,10,0,4,12,0,3,2,6,1,2,3,1,6,2,0,7,3,1,2,5,Instinct
