,"[('gen', 'der'), ('usd', 'der'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['gen', 'act'], ['der', 'ent'], ['der', 'ent']]","[['gen', 'usd', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]",act,ent,label
0,10,2,20,4,6,10,10,28,Mystic
1,2,4,10,4,3,5,5,14,Valor
2,2,0,4,2,1,2,2,7,Mystic
3,4,4,12,4,4,6,6,17,Valor
4,2,0,4,2,1,2,2,7,Valor
5,4,0,6,2,2,3,3,10,Mystic
6,0,0,2,2,0,1,1,4,Valor
7,10,6,24,6,8,12,12,33,Instinct
8,8,0,10,2,4,5,5,16,Mystic
9,6,0,8,2,3,4,4,13,Mystic
10,2,0,4,2,1,2,2,7,Valor
11,2,0,4,2,1,2,2,7,Valor
12,0,0,2,2,0,1,1,4,Valor
13,2,0,4,2,1,2,2,7,Valor
14,14,4,24,6,9,12,12,35,Instinct
15,0,0,2,2,0,1,1,4,Valor
16,8,8,26,10,8,13,13,36,Instinct
17,14,6,28,6,10,14,14,39,Instinct
18,20,0,22,2,10,11,11,34,Instinct
19,0,2,6,2,1,3,3,8,Mystic
20,6,4,16,6,5,8,8,23,Instinct
21,4,0,6,2,2,3,3,10,Mystic
22,0,0,2,2,0,1,1,4,Mystic
23,10,4,20,4,7,10,10,28,Instinct
24,12,6,30,6,9,15,15,40,Instinct
25,10,6,24,8,8,12,12,34,Instinct
26,0,0,2,2,0,1,1,4,Mystic
27,0,0,2,2,0,1,1,4,Valor
28,16,2,22,4,9,11,11,33,Instinct
29,12,0,14,2,6,7,7,22,Instinct
30,12,2,18,4,7,9,9,27,Instinct
31,0,2,4,2,1,2,2,6,Valor
32,0,2,4,2,1,2,2,6,Mystic
33,0,0,2,2,0,1,1,4,Mystic
34,10,6,26,8,8,13,13,36,Instinct
35,12,2,18,4,7,9,9,27,Instinct
36,0,2,4,2,1,2,2,6,Valor
37,2,0,4,2,1,2,2,7,Mystic
38,0,2,6,4,1,3,3,9,Valor
39,12,0,14,2,6,7,7,22,Instinct
40,0,0,2,2,0,1,1,4,Valor
41,2,0,4,2,1,2,2,7,Mystic
42,0,2,4,2,1,2,2,6,Mystic
43,0,2,6,2,1,3,3,8,Valor
44,0,0,2,2,0,1,1,4,Valor
45,0,0,2,2,0,1,1,4,Valor
46,8,8,28,10,8,14,14,38,Instinct
47,8,6,26,8,7,13,13,35,Instinct
48,8,6,28,8,7,14,14,37,Instinct
49,0,2,4,2,1,2,2,6,Valor
50,8,0,10,2,4,5,5,16,Valor
51,14,4,22,4,9,11,11,32,Instinct
52,2,0,4,2,1,2,2,7,Mystic
53,12,6,26,6,9,13,13,36,Instinct
54,8,2,16,4,5,8,8,23,Valor
55,4,0,6,2,2,3,3,10,Valor
56,10,2,16,4,6,8,8,24,Mystic
57,2,6,20,8,4,10,10,26,Valor
58,2,2,6,2,2,3,3,9,Mystic
59,8,0,10,2,4,5,5,16,Mystic
60,4,0,6,2,2,3,3,10,Mystic
61,0,4,8,4,2,4,4,11,Valor
62,8,10,34,12,9,17,17,45,Instinct
